track_name,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Shut Up and Dance,latin,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080
Firework,latin,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,227880
Crazy In Love (feat. Jay-Z),latin,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,236133
What Makes You Beautiful,latin,0.729,0.771,4,-2.451,1,0.0725,0.00761,0,0.087,0.873,125.011,198053
Perfect,latin,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400
Rude,latin,0.774,0.756,1,-4.995,1,0.0389,0.0423,0,0.305,0.931,144.032,224840
Just the Way You Are,latin,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,220733
Good Feeling,latin,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133
Turn Down for What,latin,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,213733
Cotton Eye Joe,latin,0.738,0.937,9,-7.788,0,0.0668,0.0124,0.00206,0.0338,0.614,131.994,193827
Apache - 45 Version,latin,0.854,0.936,7,-7.073,1,0.194,0.386,0,0.177,0.247,115.318,244347
Hips Don't Lie (feat. Wyclef Jean),latin,0.778,0.824,10,-5.892,0,0.0712,0.284,0,0.405,0.756,100.024,218093
Country Girl (Shake It For Me),latin,0.645,0.904,2,-4.532,1,0.0462,0.0293,0,0.0834,0.671,105.97,225560
Suavemente,latin,0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,266307
Mambo No. 5 (a Little Bit of...),latin,0.622,0.807,5,-6.752,0,0.408,0.103,0,0.306,0.892,174.06,220293
Wanted,latin,0.421,0.476,0,-7.692,1,0.0298,0.268,0,0.0816,0.3,169.784,228840
Amarillo By Morning,latin,0.606,0.361,9,-16.031,1,0.0346,0.264,3.39E-05,0.38,0.621,121.058,173467
I Don't Dance,latin,0.587,0.559,1,-7.742,1,0.0321,0.399,6.69E-06,0.0992,0.19,92.036,221173
HandClap,latin,0.636,0.836,8,-3.004,1,0.0427,0.00609,1.57E-04,0.0828,0.715,139.956,193253
Tennessee Whiskey,latin,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293
Feels Like Summer,latin,0.554,0.596,7,-8.214,1,0.13,0.162,0.00482,0.0805,0.255,165.728,297404
El Botecito,latin,0.841,0.86,1,-8.915,0,0.0394,0.173,1.84E-06,0.224,0.915,111.982,150361
ZEZE (feat. Travis Scott & Offset),latin,0.863,0.627,8,-5.708,0,0.206,0.0485,2.72E-06,0.0968,0.47,98.042,229088
Pure Water (with Migos),latin,0.684,0.552,0,-5.505,1,0.112,0.191,0,0.318,0.133,201.97,194520
Say My Name,latin,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,271333
Get It Shawty - Main,latin,0.822,0.905,5,-4.032,0,0.241,0.123,0,0.0496,0.674,128.014,209533
Good Riddance (Time of Your Life),latin,0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,153467
En La Cama (feat. Daddy Yankee),latin,0.856,0.894,10,-4.994,0,0.116,0.157,0,0.112,0.916,104.042,157049
Me Voy Pa'l Party,latin,0.825,0.936,6,-4.148,1,0.0435,0.219,0,0.0572,0.78,95.033,179093
Suave (Remix),latin,0.873,0.913,2,-2.612,1,0.0783,0.128,0.00223,0.0656,0.433,120.006,305500
Vamo a Busal,latin,0.626,0.865,2,-3.325,1,0.162,0.015,0,0.309,0.695,88.411,240000
Sola,latin,0.704,0.706,11,-5.233,0,0.111,0.483,0,0.0965,0.856,92.965,195044
Callao,latin,0.73,0.836,3,-4.277,0,0.0409,0.0073,0,0.0371,0.879,92.043,219947
Hoy (feat. Bad Bunny),latin,0.675,0.681,5,-4.495,0,0.151,0.23,0,0.132,0.553,141.87,234272
Estamos Clear,latin,0.853,0.66,9,-4.065,1,0.156,0.173,0,0.506,0.689,149.992,275187
P.I.M.P. - Snoop Dogg Remix,latin,0.677,0.698,3,-5.793,0,0.352,0.0935,0,0.0511,0.83,78.443,288573
Gangsta's Paradise,latin,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.387,79.974,240693
The Next Episode,latin,0.923,0.912,10,-2.399,0,0.266,0.0308,0,0.111,0.287,95.305,161507
Cuando Perriabas,latin,0.787,0.705,0,-7.582,1,0.0695,0.137,1.06E-06,0.108,0.499,81.998,188654
La Romana,latin,0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,300579
Asesina - Remix,latin,0.825,0.69,10,-4.252,0,0.226,0.589,0,0.413,0.516,94.194,327467
"Banda De Camión (Remix) [feat. Farruko, De La Ghetto, Bryant Myers, Zion, Noriel & Villano Sam]",latin,0.544,0.978,1,-2.479,1,0.105,0.0201,0.00236,0.84,0.732,120.069,357053
Millones,latin,0.858,0.703,11,-5.318,1,0.137,0.0636,0,0.121,0.293,129.962,334154
Antes de Morirme,latin,0.85,0.652,0,-4.443,1,0.115,0.231,0,0.173,0.496,147.961,221253
Culpables,latin,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71E-06,0.143,0.416,130.059,226627
Como Antes,latin,0.767,0.379,0,-10.348,1,0.0385,0.668,1.45E-04,0.217,0.252,103.956,230578
Booty,latin,0.825,0.771,1,-4.116,1,0.0804,0.0167,2.04E-06,0.0901,0.718,102.927,173366
¿Cual es tu plan?,latin,0.822,0.601,5,-5.418,0,0.297,0.415,0,0.0797,0.872,96.123,243700
Reggaetón en lo Oscuro,latin,0.744,0.894,1,-3.685,1,0.0769,0.0627,3.71E-06,0.108,0.729,92.018,208947
PPP,latin,0.786,0.65,4,-6.839,1,0.109,0.363,8.17E-05,0.122,0.712,92.975,129040
Sin Culpa (feat. DrefQuila),latin,0.641,0.652,8,-8.575,0,0.264,0.42,1.74E-06,0.094,0.406,175.022,244771
Si Tú,latin,0.653,0.697,10,-4.733,0,0.235,0.276,0,0.0689,0.472,187.764,228511
Te Amare,latin,0.765,0.613,9,-5.58,0,0.0361,0.0597,4.58E-04,0.129,0.284,97.04,241813
TELÉFONO,latin,0.691,0.829,11,-4.627,0,0.158,0.102,1.77E-04,0.0698,0.564,172.161,163294
Mi Gente,latin,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21E-06,0.13,0.294,103.809,189440
SAD!,latin,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606
Mwaka Moon - Remix,latin,0.768,0.556,1,-7.146,0,0.0739,0.0942,1.42E-05,0.107,0.24,155.07,237179
Yo Se Que Tu Quieres (feat. Ñengo Flow),latin,0.627,0.798,8,-4.746,0,0.112,0.297,0,0.133,0.896,180.051,208118
Giovane Fuoriclasse,latin,0.555,0.702,1,-5.002,1,0.26,0.518,0,0.086,0.0883,133.036,221964
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),latin,0.815,0.514,6,-9.446,0,0.361,0.54,0,0.611,0.623,120.054,264000
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",latin,0.792,0.895,1,-3.112,0,0.0589,0.165,0,0.0501,0.794,94.968,201526
Árabe,latin,0.682,0.674,6,-5.666,1,0.237,0.123,0,0.271,0.637,199.989,187212
El Desorden,latin,0.838,0.81,9,-3.175,0,0.0891,0.22,1.31E-05,0.0817,0.889,164.04,190244
Fumo Da Solo,latin,0.724,0.605,7,-8.14,0,0.0544,0.0626,0,0.108,0.52,140.091,221571
Machika,latin,0.618,0.836,9,-3.362,1,0.379,0.0474,0,0.172,0.54,212.058,181733
Me Ama Me Odia,latin,0.737,0.699,6,-5.804,0,0.15,0.222,1.52E-05,0.0785,0.42,135.998,325265
NI BIEN NI MAL,latin,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85E-05,0.273,0.337,128.028,236216
200 Mph,latin,0.85,0.5,8,-6.708,1,0.0665,0.0139,3.84E-04,0.0947,0.816,160.02,170509
¿Quien Tu Eres?,latin,0.727,0.58,2,-6.804,0,0.136,0.185,3.58E-06,0.125,0.325,137.048,159229
Tenemos Que Hablar,latin,0.855,0.512,11,-8.165,1,0.0534,0.146,8.54E-04,0.107,0.144,146.075,224512
Ser Bichote,latin,0.785,0.626,4,-8.03,0,0.0675,0.158,4.60E-06,0.181,0.183,154.946,193211
Si Estuviésemos Juntos,latin,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14E-05,0.152,0.158,171.854,169248
Solo de Mi,latin,0.743,0.73,10,-4.314,0,0.125,0.287,8.10E-05,0.0778,0.15,179.972,197968
RLNDT,latin,0.6,0.528,0,-6.554,1,0.0308,0.263,0,0.588,0.142,108.025,284853
Estamos Bien,latin,0.759,0.536,9,-6.663,0,0.173,0.821,4.57E-06,0.107,0.439,119.883,208080
MIA,latin,0.816,0.538,6,-6.354,0,0.0617,0.0142,4.96E-04,0.099,0.156,97.054,210368
Caile (feat. Zion & De La Ghetto),latin,0.768,0.735,1,-2.511,0,0.0669,0.202,0,0.0557,0.303,129.99,299587
Nunca Me Amo,latin,0.813,0.787,8,-4.098,0,0.177,0.216,0,0.0602,0.451,130.065,199642
No Te Hagas,latin,0.748,0.69,0,-3.812,0,0.0477,0.0353,0,0.315,0.433,131.972,233251
"Fronteamos Porque Podemos (feat. Daddy Yankee, Yandel & Nengo Flow)",latin,0.714,0.626,5,-4.655,0,0.423,0.26,0,0.284,0.512,76.625,315440
47 - Remix,latin,0.711,0.699,6,-4.891,1,0.193,0.248,0,0.254,0.376,146.016,517810
Me Mata,latin,0.841,0.53,9,-11.467,1,0.205,0.551,0,0.119,0.686,114.028,412632
Llegamos A La Disco,latin,0.731,0.786,0,-4.898,1,0.254,0.114,0,0.437,0.78,89.092,453360
Hola Beba,latin,0.747,0.528,6,-8.267,0,0.0527,0.099,0,0.0845,0.603,86.964,216320
Bien Loco,latin,0.515,0.812,7,-5.06,0,0.361,0.411,0,0.101,0.779,169.981,218044
"Siempre Me Llama (feat. Farruko, Maldy & Yaviah)",latin,0.734,0.697,1,-7.541,1,0.0664,0.0498,0,0.298,0.908,169.975,250742
Matador (feat. Ñengo Flow),latin,0.647,0.724,11,-5.571,0,0.0853,0.162,0,0.103,0.688,178.009,248530
Sexo Seguro,latin,0.748,0.887,4,-6.23,0,0.0905,0.0853,0,0.108,0.585,97.015,218507
No Es Una Gial (feat. De La Ghetto),latin,0.685,0.891,11,-5.957,0,0.0662,0.224,0,0.229,0.954,78.993,226329
"Ponte Puty (feat. Franco ""El Gorila"")",latin,0.739,0.865,6,-5.957,0,0.0861,0.181,4.97E-06,0.188,0.827,178.076,174288
Te Dijeron,latin,0.785,0.86,4,-5.309,0,0.0512,0.127,0,0.408,0.547,89.978,183853
Si No Te Quiere (feat. D.OZi),latin,0.768,0.933,9,-0.046,0,0.0373,0.0669,0,0.0624,0.949,92.04,225855
Corazon De Seda (feat. Ozuna),latin,0.841,0.694,7,-5.114,0,0.0937,0.0759,0,0.102,0.83,90.034,186976
Dembowholic,latin,0.771,0.765,6,-3.703,0,0.0716,0.203,0,0.0518,0.847,163.975,239753
De Ti Depende (feat. Plan B),latin,0.611,0.837,6,-4.458,0,0.0898,0.568,0,0.0564,0.566,176.096,235652
¿Por Que Te Demoras?,latin,0.895,0.792,2,-5.923,0,0.0769,0.0386,0,0.0547,0.941,96.018,190493
Nunca Se Quita,latin,0.718,0.753,7,-7.755,1,0.0541,0.263,0,0.625,0.792,82.024,211281
2 Cachas (feat. Nejo),latin,0.724,0.706,8,-7.932,1,0.0697,0.475,0,0.32,0.919,88.01,225080
Se Acabo el Amor,latin,0.647,0.876,8,-5.065,1,0.0463,0.283,1.96E-06,0.235,0.784,82.987,218013
Regalame una Noche - Remix,latin,0.75,0.636,11,-7.485,1,0.059,0.141,0,0.319,0.639,89.994,251133
Hasta Verla Sin Na (feat. Arcangel),latin,0.738,0.793,1,-4.051,0,0.0533,0.0885,0,0.139,0.683,93.993,213587
Mirala (feat. Farruko & Zion),latin,0.748,0.888,1,-5.456,0,0.0543,0.0908,0,0.055,0.625,90.862,228552
"Hoy (feat. Daddy Yankee, J-Alvarez & Jory)",latin,0.744,0.837,9,-5.082,0,0.0703,0.336,0,0.229,0.706,92.04,293773
Real Love,latin,0.625,0.835,8,-5.679,0,0.0469,0.322,0,0.0685,0.849,169.945,230893
Cuando Estoy Contigo (Remix) [feat. Baby Rasta y Gringo],latin,0.644,0.837,6,-6.78,0,0.0552,0.21,0,0.282,0.806,82.034,235413
Aprovecha (feat. Daddy Yankee),latin,0.624,0.772,7,-4.687,0,0.165,0.178,0,0.11,0.589,172.014,222240
Pikete,latin,0.667,0.84,0,-5.405,0,0.0493,0.132,0,0.174,0.882,173.98,191269
Va a Toa,latin,0.673,0.945,1,-5.166,1,0.043,0.393,4.34E-05,0.519,0.803,92.001,202449
Prrrum - Remix,latin,0.857,0.772,1,-3.076,1,0.291,0.167,0,0.0721,0.727,90.034,253600
Permitame (feat. Yandel),latin,0.641,0.674,8,-7.272,1,0.183,0.0181,0,0.113,0.894,214.047,184507
Flow Violento,latin,0.795,0.841,9,-6.166,1,0.144,0.239,0,0.104,0.952,80.011,182587
Descará,latin,0.767,0.853,1,-5.295,0,0.161,0.116,7.13E-05,0.677,0.725,89.988,303520
Life Is Good (feat. Drake),r&b,0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,237735
Ayy Macarena,r&b,0.816,0.63,2,-5.568,1,0.226,0.133,0,0.0692,0.715,96.493,131607
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,r&b,0.559,0.491,2,-6.406,0,0.0346,0.0567,0,0.0992,0.114,153.131,244874
FML,r&b,0.822,0.575,5,-5.95,1,0.0934,0.113,0,0.106,0.616,100.087,223000
OUT WEST (feat. Young Thug),r&b,0.802,0.591,8,-4.895,1,0.225,0.0104,0,0.196,0.309,139.864,157712
"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",r&b,0.815,0.513,1,-8.363,1,0.244,0.0145,1.02E-04,0.14,0.17,96.982,296011
ROXANNE,r&b,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636
Out Of Your Mind (feat. Swae Lee & Chris Brown),r&b,0.718,0.882,4,-4.677,0,0.0521,0.0229,0.0286,0.102,0.611,95.005,194171
GANG GANG,r&b,0.859,0.6,7,-4.63,0,0.301,0.071,0,0.353,0.568,123.017,244761
Suicidal,r&b,0.736,0.369,9,-9.682,0,0.0688,0.334,0,0.126,0.235,140.005,222997
Richer Than Ever,r&b,0.715,0.537,9,-9.414,1,0.279,0.00235,0,0.358,0.287,142.952,185443
Immortal,r&b,0.741,0.87,6,-3.494,0,0.503,0.00813,0,0.114,0.663,184.194,254723
Lalala,r&b,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,160627
HIGHEST IN THE ROOM,r&b,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721
BEST ON EARTH (feat. BIA),r&b,0.568,0.764,5,-3.465,0,0.255,0.217,0,0.0931,0.625,179.985,160720
Hop Off A Jet (feat. Travis Scott),r&b,0.823,0.476,7,-8.951,1,0.242,0.0115,0,0.213,0.353,144.998,174067
20/20,r&b,0.886,0.336,4,-12.779,1,0.239,0.557,0,0.0933,0.536,100.044,230448
MAMACITA,r&b,0.786,0.733,6,-4.961,0,0.127,0.0257,0,0.143,0.358,101.046,202653
Bandit (with YoungBoy Never Broke Again),r&b,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323
No Denying,r&b,0.538,0.725,0,-5.446,1,0.29,0.139,0,0.356,0.534,140.087,214547
Futsal Shuffle 2020,r&b,0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,198913
F.N,r&b,0.567,0.515,6,-10.265,0,0.247,0.354,0,0.078,0.321,120.1,224000
BOP,r&b,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,159715
Juicy (feat. Tyga),r&b,0.786,0.652,0,-2.607,1,0.0669,0.102,0,0.0697,0.483,170.031,203093
Purpose (feat. G Herbo),r&b,0.841,0.693,3,-5.635,0,0.179,0.207,0,0.102,0.706,154.978,179840
The Box,r&b,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653
NIGHTTIME (Interlude),r&b,0.823,0.556,5,-5.883,0,0.118,0.34,0.00121,0.084,0.879,142,189867
