The Girl Who Became a Machine,0.315,0.958,9,-3.548,1,0.0528,0.000189,0.000986,0.33,0.79,156.852,139680,4
The World It Still Revolves - Garage Demo,0.615,0.12,2,-19.175,1,0.0307,0.919,0.23,0.109,0.24,77.478,315160,4
Tramp The Dirt Down,0.403,0.272,7,-9.955,1,0.03,0.485,0,0.326,0.302,143.598,341333,3
Unequal Love,0.587,0.173,9,-14.742,1,0.0413,0.561,0.00231,0.108,0.278,137.706,286000,4
Weather With You,0.643,0.614,2,-12.878,1,0.0279,0.25,7.17e-06,0.214,0.891,93.982,224467,4
What If You,0.356,0.184,1,-16.404,1,0.0291,0.496,0.00132,0.131,0.278,85.853,274213,4
Winter,0.258,0.214,4,-15.255,1,0.0366,0.636,0.000362,0.141,0.404,170.275,203773,4
You Do Run,0.405,0.855,9,-3.962,1,0.0441,0.000966,0,0.814,0.747,148.988,168693,4
5 Years Time,0.803,0.548,0,-7.103,1,0.12,0.351,0,0.0953,0.75,121.942,214920,4
AKA... What A Life!,0.447,0.922,6,-3.278,0,0.0474,0.000307,0.354,0.0973,0.115,119.024,264467,4
Alive,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907,4
Atlantic City,0.475,0.429,4,-10.577,1,0.0367,0.311,0,0.376,0.34,108.034,236653,4
Baggy Trousers,0.64,0.887,0,-5.204,0,0.0368,0.143,0,0.336,0.94,144.546,167173,4
Black,0.36,0.684,4,-6.457,0,0.0308,0.323,0,0.34,0.2,77.15,342653,4
Born to Run,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,4
Chevy Thunder,0.437,0.968,9,-2.465,1,0.0698,0.00141,8.36e-06,0.303,0.367,90.01,225893,4
Come Closer,0.511,0.696,6,-5.157,0,0.0421,0.0272,0.000249,0.0875,0.788,164.614,179240,4
Death To My Hometown,0.395,0.828,8,-7.334,1,0.0409,0.00419,2.28e-06,0.114,0.648,184.033,205707,4
Even Flow,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,292581,4
Everybody's On the Run,0.115,0.744,10,-4.931,1,0.0351,0.00241,0.00147,0.32,0.121,170.208,331440,4
First of My Kind,0.47,0.929,7,-2.692,0,0.0406,2.65e-05,0.000293,0.849,0.587,136.998,193280,4
Free Fallin',0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000,4
God & Satan,0.726,0.542,7,-9.523,1,0.03,0.327,0,0.146,0.305,120.201,189840,4
Grounds For Divorce,0.523,0.764,2,-5.069,0,0.027,0.417,2.96e-06,0.566,0.629,91.975,219453,4
House Of Fun,0.744,0.924,7,-8.964,1,0.0478,0.234,0.0331,0.128,0.791,128.656,180067,4
Inhaler,0.369,0.925,11,-3.854,0,0.0621,0.00128,3.19e-05,0.0849,0.538,161.964,182667,4
It Must Be Love,0.536,0.606,7,-5.364,1,0.0355,0.103,1.08e-05,0.255,0.719,146.425,206267,4
Just Breathe,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42e-05,0.0823,0.283,107.819,215853,4
L.I.F.E.G.O.E.S.O.N.,0.603,0.745,4,-5.79,1,0.0368,0.207,0,0.348,0.606,81.981,228000,4
Little By Little,0.405,0.632,2,-5.132,1,0.0273,0.0316,0.00251,0.112,0.141,145.936,292853,4
Many Of Horror,0.498,0.647,1,-7.631,1,0.0358,0.00427,9.87e-06,0.146,0.257,163.87,258573,4
One Day Like This,0.433,0.666,10,-6.102,1,0.0287,0.093,0,0.141,0.382,159.369,394173,4
Our House,0.601,0.649,7,-10.57,1,0.0554,0.0285,7.71e-05,0.127,0.708,121.66,201133,4
Queen Of The Supermarket,0.495,0.561,7,-7.839,1,0.0321,0.0267,3.34e-06,0.118,0.446,116.474,278813,4
Something In The Air - Single Version,0.526,0.52,8,-9.438,0,0.0254,0.181,4.99e-05,0.12,0.58,93.688,235267,4
The River,0.587,0.536,7,-11.248,1,0.0304,0.179,2.75e-05,0.305,0.59,117.498,301547,4
We Take Care Of Our Own,0.603,0.887,5,-5.641,1,0.043,0.000233,0.113,0.524,0.761,122.986,234400,4
Wrecking Ball,0.455,0.646,5,-7.416,1,0.0311,0.0441,0,0.102,0.427,117.88,347600,4
Yellow Ledbetter,0.504,0.354,4,-11.3,1,0.0339,0.29,4.71e-06,0.157,0.292,140.87,303587,4
Heart Shaped Pixel,0.61,0.608,9,-5.92,0,0.0282,0.00125,0.712,0.101,0.533,110.019,275813,4
Live Die 5 Continues,0.616,0.732,1,-7.168,1,0.0601,1.33e-05,0.805,0.137,0.859,137.959,200640,4
Maximized,0.745,0.606,1,-7.224,1,0.0447,0.00354,0.523,0.131,0.503,114.997,226533,4
My Megadrive,0.541,0.715,11,-6.642,0,0.0409,0.0191,4.14e-06,0.075,0.317,164.888,218428,4
Super Easy,0.648,0.65,9,-6.283,0,0.0292,0.00127,0.477,0.226,0.241,119.962,346767,4
The Backup,0.597,0.509,1,-8.006,0,0.0407,0.251,0.00104,0.162,0.141,150.004,338765,4
Along the Busiest of Roads,0.643,0.728,5,-9.39,1,0.0397,0.00808,0.164,0.369,0.192,128.017,311250,4
Bd08,0.298,0.11,0,-20.151,1,0.0412,0.716,0.927,0.158,0.033,127.911,158609,4
Beginning,0.186,0.0257,1,-21.902,1,0.0396,0.962,0.928,0.105,0.0393,84.637,176000,1
Cat,0.485,0.472,8,-16.412,1,0.0434,0.872,0.905,0.0995,0.0384,112.011,186250,4
Clark,0.217,0.00638,9,-23.367,0,0.0399,0.982,0.853,0.0732,0.0395,81.578,191750,4
Danny,0.211,0.0262,0,-22.08,1,0.0377,0.972,0.476,0.0757,0.098,81.192,254500,4
Dog,0.583,0.529,10,-14.881,0,0.038,0.0484,0.917,0.106,0.0757,112.037,145750,4
Door,0.459,0.112,5,-17.378,1,0.0396,0.974,0.939,0.093,0.0781,65.243,111438,5
Droopy Likes Ricochet,0.563,0.348,0,-17.67,1,0.0308,0.375,0.911,0.172,0.061,94.632,96234,4
Droopy Likes Your Face,0.59,0.325,2,-20.327,0,0.0348,0.589,0.927,0.2,0.404,94.625,116762,4
Dry Hands,0.68,0.00713,6,-22.499,0,0.0873,0.992,0.711,0.104,0.342,117.793,68500,4
Excuse,0.487,0.00692,2,-26.324,0,0.0338,0.988,0.95,0.141,0.0352,85.973,124000,4
From the Window,0.657,0.711,7,-10.009,1,0.0722,0.00395,0.658,0.596,0.336,122.205,418648,4
Haggstrom,0.771,0.179,4,-16.702,0,0.064,0.971,0.811,0.0685,0.0374,112.018,204000,1
I Jike My Lob,0.645,0.543,0,-14.481,1,0.0515,0.232,0.859,0.0776,0.0391,111.112,383000,4
Key,0.129,0.00376,3,-41.766,0,0.0379,0.993,0.382,0.0774,0.0376,147.148,65000,5
Living Mice,0.431,0.0573,7,-22.465,1,0.0403,0.883,0.609,0.0484,0.0395,74.97,177500,4
Marketing Squander Versus the Little Man,0.621,0.337,2,-15.499,0,0.0421,0.517,0.897,0.0751,0.337,106.997,522500,4
Mice On Venus,0.433,0.0286,0,-17.597,1,0.0527,0.961,0.0102,0.0594,0.0764,110.908,281500,4
Minecraft,0.206,0.0154,1,-22.923,1,0.0426,0.98,0.636,0.0662,0.116,83.68,254000,3
Moog City,0.251,0.0771,4,-24.893,0,0.0383,0.931,0.947,0.101,0.232,141.715,180000,4
Oxygène,0.158,0.00832,9,-30.666,0,0.0417,0.569,0.816,0.0828,0.0313,107.295,65125,3
Stilbruch,0.24,0.0475,6,-19.375,1,0.0391,0.946,0.827,0.0865,0.0706,137.491,380000,4
Subwoofer Lullaby,0.329,0.0141,0,-23.72,1,0.0398,0.921,0.919,0.104,0.0387,74.011,208562,4
Sweden,0.642,0.01,2,-25.164,1,0.0446,0.992,0.945,0.103,0.197,87.971,215500,4
Thirteen,0.26,0.0671,4,-30.388,0,0.0446,0.964,0.954,0.116,0.0286,70.648,176500,1
Timelapse Kingdom,0.679,0.562,4,-14.109,1,0.0444,0.149,0.833,0.356,0.0398,127.982,504000,4
United Colors of Scrapyard,0.782,0.507,10,-15.01,0,0.0822,0.543,0.889,0.083,0.267,128.024,476000,4
Welcome Back to the Machine,0.594,0.721,2,-11.112,0,0.0443,0.00119,0.818,0.108,0.205,128.003,318102,4
Wet Hands,0.616,0.035,9,-25.836,1,0.0432,0.996,0.939,0.0835,0.643,147.712,90000,3
Équinoxe,0.436,0.101,9,-18.344,0,0.0342,0.919,0.391,0.0927,0.252,91.154,114875,4
29 Palms,0.71,0.519,5,-8.885,1,0.033,0.00111,0.873,0.0617,0.258,138.05,250427,4
"A Glowing Light, a Promise",0.572,0.958,8,-4.526,1,0.047,0.651,0.886,0.105,0.0335,101.009,333810,4
Air Song - 8 am Version,0.144,0.266,0,-22.391,0,0.0423,0.368,0.723,0.141,0.0322,145.096,999013,4
All In Forms - FaltyDL Remix,0.783,0.861,1,-8.882,1,0.138,0.00861,0.887,0.0768,0.0384,109.982,454573,4
All In Forms - Mike Slott Remix,0.313,0.633,9,-8.314,1,0.0852,0.0821,0.822,0.0571,0.111,77.578,325973,4
Anthem (Nym Remix),0.518,0.537,7,-7.96,0,0.0302,0.658,0.903,0.0922,0.349,170.013,242960,4
Ark.La.Tex.,0.284,0.17,11,-14.972,0,0.0326,0.851,0.618,0.0845,0.0799,178.262,697573,3
Awaiting An Accident - Lali Puna Remix,0.907,0.378,6,-13.643,0,0.0748,0.0382,0.486,0.0578,0.752,129.989,239253,4
Behind Closed Doors (Edit),0.562,0.588,1,-11.811,0,0.0386,0.0218,0.862,0.103,0.297,91.502,310013,4
Between Two Points (feat. Swan),0.528,0.685,6,-7.369,0,0.0471,0.133,0.0136,0.248,0.242,121.971,335187,4
Black Lake,0.59,0.477,11,-13.461,0,0.0307,0.452,0.516,0.0963,0.286,90.499,218573,4
Black Lake (Emancipator Remix),0.593,0.805,4,-6.388,0,0.0334,0.46,0.72,0.152,0.234,90.485,244760,4
Black Sands,0.525,0.499,0,-9.023,0,0.0246,0.732,0.936,0.0966,0.338,87.989,408960,3
Black Sands - Duke Dumont's 'Grains Of Sand' Reconstruction Edit,0.0835,0.429,5,-13.949,0,0.0405,0.324,0.769,0.119,0.0377,49.231,443667,4
Blade Runner Blues,0.182,0.0784,2,-26.043,1,0.0389,0.478,0.00263,0.137,0.0817,106.712,534400,4
Brace Brace,0.556,0.622,1,-9.179,0,0.0283,0.587,0.969,0.118,0.177,119.995,423693,4
Bury Them Bones (Marley Carroll Remix),0.716,0.823,11,-6.714,0,0.0426,0.105,0.904,0.109,0.0565,123.012,442053,4
Change Down,0.646,0.518,2,-11.09,1,0.0302,0.843,0.914,0.0879,0.199,110.012,273013,4
Chanson d'Automne..,0.661,0.556,8,-12.754,1,0.0334,0.75,0.926,0.107,0.383,120.027,201182,4
Choking You,0.704,0.669,8,-5.02,1,0.167,0.491,0.5,0.114,0.866,87.027,241053,4
Colonial (Explore),0.481,0.285,3,-22.565,0,0.0317,0.907,0.941,0.0938,0.1,164.053,222439,4
Daydream In Blue,0.547,0.508,5,-6.301,0,0.0273,0.0151,0.00116,0.116,0.382,153.822,223667,4
Desert Wind (Silence of the night),0.787,0.705,0,-6.947,1,0.0618,0.315,0.685,0.0687,0.709,126.005,325189,4
Destiny,0.63,0.576,7,-9.046,0,0.0304,0.217,0.686,0.129,0.471,138.009,338280,4
Detroit,0.539,0.3,6,-17.864,0,0.0476,0.972,0.95,0.0737,0.0607,120.007,80000,4
Distractions,0.165,0.586,3,-7.304,0,0.0442,0.262,0.839,0.18,0.0675,204.186,316200,4
Drive It Like You Stole It,0.608,0.68,5,-8.953,0,0.0818,0.106,0.934,0.31,0.419,85.962,356453,4
Droopy Likes Your Face,0.59,0.325,2,-20.327,0,0.0348,0.589,0.927,0.2,0.404,94.625,116762,4
Duke Booty,0.75,0.694,0,-8.01,1,0.177,0.0205,0.168,0.0923,0.755,111.932,296000,4
Electric Eyes,0.614,0.496,0,-6.185,1,0.0292,0.204,0.0154,0.159,0.267,74.98,203189,4
Everything Up [Zizou],0.755,0.78,5,-6.976,0,0.0395,0.00594,0.442,0.0772,0.972,136.987,319293,4
Eyesdown,0.758,0.455,4,-9.199,0,0.12,0.0442,0.493,0.11,0.183,129.976,326240,3
Eyesdown - ARP 101 Remix,0.517,0.591,4,-10.164,0,0.236,0.0479,0.0414,0.0994,0.895,169.721,232733,5
Eyesdown - Floating Points Remix,0.49,0.562,4,-9.263,0,0.107,0.143,0.757,0.124,0.461,130.031,363467,4
Eyesdown - Machinedrum Remix,0.33,0.929,1,-6.141,1,0.0973,0.000181,0.892,0.0945,0.434,159.943,215827,4
First Snow (Ooah Remix),0.603,0.558,1,-10.849,0,0.0406,0.287,0.687,0.101,0.327,149.991,462627,4
Fixed Income,0.608,0.711,9,-10.131,1,0.0327,0.0813,0.918,0.0836,0.589,156.494,289000,4
Futures,0.597,0.52,2,-10.689,0,0.0285,0.187,0.0702,0.0997,0.381,142.133,233227,4
Ghost Ship,0.736,0.659,0,-6.549,1,0.0352,0.00163,0.806,0.0905,0.285,108.871,241733,4
Greenland,0.592,0.392,4,-13.254,0,0.0292,0.0242,0.865,0.427,0.105,98.734,191067,4
Heart Shaped Rock,0.613,0.637,4,-6.357,0,0.0266,0.439,0.782,0.137,0.292,82.0,247510,4
Hey Now - J'adore Dior Remix by The Shoes,0.648,0.28,5,-11.961,1,0.0333,0.396,0.0785,0.106,0.0393,120.058,207253,4
Hrafntinna,0.197,0.727,7,-7.148,0,0.0398,0.00751,0.0017,0.0774,0.171,109.134,382813,4
Human Legacy,0.416,0.689,1,-9.812,0,0.0285,0.00435,0.772,0.0932,0.0687,139.994,298856,4
Hurt,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,4
I Have Seen,0.488,0.68,8,-8.414,1,0.0308,0.00786,0.551,0.192,0.761,158.065,304733,4
I Know the Truth,0.59,0.939,6,-3.222,0,0.233,0.00162,0.00399,0.0408,0.296,140.118,288000,4
In The Waiting Line,0.561,0.33,5,-13.51,1,0.0268,0.76,0.134,0.106,0.378,79.01,271520,4
Inexist,0.468,0.789,9,-8.486,0,0.0431,0.00421,0.549,0.291,0.27,82.062,325773,4
Invisible For All,0.57,0.484,1,-16.385,1,0.174,0.618,0.876,0.244,0.0892,100.974,232427,4
It's Raining Clouds,0.588,0.662,6,-11.138,0,0.0602,0.00593,0.657,0.123,0.503,168.042,354000,4
Kiara,0.595,0.788,3,-10.128,0,0.363,0.195,0.202,0.153,0.414,97.012,230307,4
Kiara - Cosmin TRG Remix,0.593,0.892,2,-10.786,1,0.052,0.0112,0.905,0.0897,0.1,124.987,305600,4
Kong,0.542,0.749,6,-8.333,0,0.0277,0.173,0.942,0.315,0.674,94.031,237827,4
Let The World Hurry By,0.646,0.714,0,-6.505,1,0.0448,0.0951,0.516,0.345,0.482,87.02,454138,4
Lost In Thought,0.619,0.318,1,-15.88,1,0.0401,0.634,0.879,0.118,0.201,150.367,376733,4
MTI,0.217,0.327,8,-18.711,0,0.0477,0.416,0.919,0.354,0.49,135.001,256322,4
Magician's Assistant,0.729,0.811,4,-6.418,0,0.0326,0.838,0.889,0.111,0.716,135.871,201848,4
Make Me Real,0.608,0.881,5,-6.521,0,0.0434,0.00174,0.313,0.128,0.578,119.994,267781,4
Melody Day - Four Tet Remix,0.482,0.483,1,-11.049,0,0.03,0.694,0.415,0.0924,0.145,138.058,285707,4
Memories - Live In Montreal,0.282,0.904,1,-5.852,0,0.0733,0.004,0.785,0.968,0.506,131.246,536520,4
Mental Anguish,0.457,0.425,4,-9.735,0,0.0306,0.0807,0.923,0.124,0.0358,114.988,571907,4
Merry Christmas Mr. Lawrence,0.493,0.175,10,-18.049,0,0.036,0.949,0.777,0.112,0.278,106.903,286467,4
"Mira, Ultraviolet",0.163,0.659,5,-7.401,0,0.0342,0.00164,0.627,0.288,0.0298,131.954,204627,4
Modus Operandi,0.635,0.422,9,-13.035,0,0.0768,0.00973,0.877,0.0756,0.516,195.169,422200,4
Mr McGee,0.48,0.775,4,-6.141,0,0.054,0.128,0.0073,0.636,0.661,103.833,259053,3
Mushroom Compost,0.331,0.712,6,-8.492,1,0.0748,0.252,0.488,0.087,0.388,179.442,199933,3
Nevergreen,0.511,0.42,3,-9.794,0,0.0286,0.375,0.84,0.152,0.239,170.873,215947,4
Nevergreen (Blockhead Remix),0.62,0.875,3,-8.426,0,0.108,0.547,0.119,0.265,0.616,98.03,259493,4
Nothing Owed,0.641,0.414,11,-11.95,0,0.0432,0.362,0.833,0.25,0.269,90.007,376533,4
Old Devil,0.622,0.588,0,-13.107,0,0.0439,0.148,0.881,0.141,0.467,81.715,241227,4
Old Devil (Kept Blue Remix),0.551,0.724,8,-9.427,1,0.0418,0.019,0.686,0.348,0.281,163.488,280853,4
Prelude - Lapalux's Finger on the Tape Remix,0.216,0.539,5,-7.258,0,0.0386,0.377,0.101,0.128,0.0785,130.316,258467,4
Probability Tree,0.633,0.658,11,-9.979,0,0.0394,0.609,0.882,0.085,0.788,160.002,365106,4
Psychedelic Stereo,0.482,0.484,9,-7.425,0,0.0492,0.0013,0.00583,0.145,0.153,84.019,217253,4
Que Sera,0.714,0.721,9,-5.049,1,0.0783,0.273,0.245,0.174,0.415,83.021,164093,4
Rattlesnakes (saQi Remix),0.629,0.721,0,-6.851,1,0.0355,0.0183,0.488,0.383,0.323,100.005,383413,4
Redacted - Instrumental,0.666,0.506,6,-11.445,0,0.144,0.0474,0.944,0.0921,0.635,174.023,187586,4
Salt Water Sound,0.644,0.699,2,-9.854,1,0.0325,0.247,0.867,0.141,0.751,75.478,327467,4
Santa Rosa,0.624,0.556,7,-7.53,0,0.0338,0.168,0.801,0.0988,0.292,130.106,373914,4
Season Of Changes,0.549,0.146,9,-12.579,0,0.0342,0.843,0.833,0.104,0.0783,119.935,199236,3
Siren (Tor Remix),0.475,0.626,5,-7.081,0,0.0303,0.146,0.633,0.137,0.11,95.972,292507,4
Sleepless,0.53,0.689,9,-7.482,0,0.173,0.0341,5.04e-05,0.0886,0.394,175.132,209377,4
Sleepless (feat. Jezzabell Doran),0.53,0.689,9,-7.482,0,0.173,0.0341,5.04e-05,0.0886,0.394,175.132,209377,4
Someday Is Everyday,0.303,0.857,9,-5.785,0,0.0635,0.109,0.805,0.118,0.671,85.019,401476,1
Somersault,0.28,0.386,0,-10.889,1,0.0275,0.194,0.0222,0.337,0.163,146.82,416933,3
Soon It Will Be Cold Enough to Build Fires (Aligning Minds Remix),0.776,0.791,0,-7.302,0,0.101,0.166,0.414,0.109,0.436,94.004,454400,4
Stay The Same,0.589,0.557,1,-7.493,0,0.0421,0.551,0.151,0.106,0.545,99.987,284800,4
Stay the Same - Blue Daisy 'Not Quite the Same' Remix,0.249,0.638,8,-10.882,0,0.0687,0.134,0.827,0.128,0.233,100.009,320933,4
Stay the Same - Mark Pritchard Remix,0.33,0.526,8,-8.126,0,0.0289,0.0357,0.00453,0.0188,0.809,68.42,310400,3
Still Night,0.669,0.806,2,-6.145,0,0.259,0.522,0.426,0.599,0.391,97.912,331318,4
Sunday Seance,0.595,0.666,11,-10.96,1,0.0376,0.28,0.718,0.0753,0.47,80.011,328600,4
Sweet Unrest,0.35,0.454,6,-10.033,1,0.0428,0.758,0.67,0.318,0.0353,120.078,213571,4
Terrapin,0.555,0.327,10,-16.399,1,0.0349,0.787,0.936,0.112,0.0392,152.02,278347,4
The Keeper - Banks Remix,0.434,0.488,8,-9.967,1,0.0411,0.107,0.778,0.108,0.0968,97.914,371133,4
The Pageant Of The Bizarre,0.559,0.486,4,-9.079,1,0.0284,0.685,0.00274,0.08,0.132,109.924,266413,3
The Truth,0.703,0.393,2,-10.88,1,0.0455,0.6,6.09e-06,0.113,0.478,79.653,337200,4
This Messiah Needs Watching,0.427,0.348,9,-13.511,0,0.0363,0.636,0.853,0.094,0.124,108.02,277040,5
Throw It All Away,0.417,0.576,0,-10.262,0,0.0481,0.18,0.00148,0.203,0.394,138.224,325160,4
Universal Soldiers,0.658,0.765,0,-7.776,1,0.133,0.282,0.879,0.107,0.69,125.068,297665,4
Vandalized Lovemap,0.254,0.137,11,-17.055,1,0.0454,0.905,0.86,0.0868,0.0354,180.019,232240,3
Vines,0.682,0.314,3,-13.991,0,0.0302,0.382,0.794,0.124,0.205,90.012,278027,4
Vines (The Great Mundane Remix),0.501,0.646,10,-8.802,0,0.0367,0.378,0.369,0.0643,0.271,180.084,245107,4
Wayward Bob,0.579,0.697,6,-7.498,0,0.0328,0.0175,0.0704,0.367,0.551,104.969,279067,3
When the Dust Settles,0.61,0.719,2,-7.393,1,0.0308,0.0122,0.87,0.136,0.671,100.003,450858,4
Which One Of You Jerks Drank My Arnold Palmer,0.544,0.828,5,-11.09,0,0.0368,0.011,0.916,0.357,0.613,174.015,288560,4
Yeti's Lament,0.553,0.471,4,-8.47,0,0.0306,0.834,0.894,0.127,0.227,89.993,210834,4
You Wish,0.781,0.25,9,-9.702,0,0.0297,0.708,0.91,0.375,0.454,103.478,209317,4
You're My Flame,0.568,0.661,10,-10.168,0,0.0522,0.274,0.119,0.0901,0.712,160.414,199960,4
Your Consciousness Goes Bip,0.663,0.637,1,-10.572,0,0.0476,0.0239,0.699,0.103,0.399,160.035,261173,4
Brandenburg Concerto No.3 in G Major - 1st Movement,0.4,0.464,7,-11.478,1,0.0346,0.818,0.892,0.12,0.597,96.461,367097,3
"Cello Suite No. 1 in G Major, BWV 1007: Prelude",0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,151480,4
Für Elise,0.25,0.0163,9,-36.423,0,0.0442,0.995,0.899,0.0767,0.306,144.193,173000,3
"Jesu, Joy Of Man's Desiring', BWV 147",0.361,0.192,7,-21.208,1,0.0382,0.994,0.916,0.138,0.39,111.103,146600,4
L'Estasi Dell'oro (The Ecstasy Of Gold) - 2004 Digital Remaster,0.54,0.629,9,-9.75,0,0.0325,0.00604,0.863,0.1,0.541,96.826,203120,4
Moonlight Sonata: Adagio Sostenuto,0.544,0.12,1,-20.239,0,0.0561,0.995,0.924,0.0967,0.193,110.911,447187,3
"Overture (Suite) No. 3 in D Major, BWV 1068: II: Air on a G String",0.118,0.093,2,-24.431,1,0.0423,0.671,0.832,0.132,0.0563,86.083,317840,4
"Piano Sonata No. 11 in A major, K. 331: III. Rondo alla turca",0.485,0.199,9,-20.257,1,0.0372,0.992,0.913,0.13,0.628,135.792,197867,4
Piano Sonata No.14 In C Sharp Minor Op.27_2 - 1st Movement 'Moonlight,0.278,0.00245,1,-41.53,0,0.0497,0.995,0.881,0.114,0.293,139.161,403333,3
Purcell : Funeral Sentences for the death of Queen Mary II Z27 : I March,0.194,0.017,0,-24.598,0,0.0335,0.981,0.914,0.105,0.068,81.701,137467,4
"Requiem In D Minor, Sequentia: Dies Irae",0.291,0.372,7,-16.74,0,0.0358,0.973,0.285,0.144,0.346,161.722,106000,4
"Serenade No. 13 in G Major, K. 525 Eine Kleine Nachtmusik"": I: Allegro""",0.492,0.136,7,-18.839,1,0.0463,0.948,0.893,0.0726,0.445,135.786,351493,4
"Sonata No. 23 In F Minor, Op. 57 Appassionata"" Assai Allegro""",0.327,0.193,1,-17.114,1,0.0397,0.97,0.889,0.0941,0.0555,99.396,510480,4
"Symphony No. 40 in G Minor, KV. 550: I: Molto allegro",0.416,0.174,7,-16.689,0,0.0353,0.943,0.916,0.118,0.198,109.35,451333,4
Symphony No. 5 In C Minor Part 1,0.293,0.25,0,-16.766,0,0.0452,0.884,0.907,0.243,0.158,87.682,485293,4
The Four Seasons - Autumn (Violin Concerto in F Major) RV 293: I. Allegro,0.45,0.153,11,-19.825,1,0.0445,0.884,0.432,0.141,0.345,147.134,203400,3
"The Four Seasons - Spring (Violin Concerto in E Major), RV 269: I. Allegro",0.488,0.101,3,-19.294,1,0.0396,0.775,0.0337,0.0644,0.199,108.562,191640,4
"The Four Seasons - Spring (Violin Concerto in E Major), RV 269: III. Allegro pastorale",0.309,0.0768,3,-20.547,1,0.0358,0.712,0.00658,0.114,0.22,98.5,237787,4
