track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,userid,artist,playlist
Meds,0.514,0.91,4,-4.644,0,0.105,0.0995,0.000206,0.0943,0.29,155.139,175387,4,c50566d83fba17b20697039d5824db78,Placebo,Everything at once
Meet Me in the Bathroom,0.427,0.941,7,-3.973,1,0.0336,6.7e-05,0.89,0.0772,0.587,139.956,176160,4,c50566d83fba17b20697039d5824db78,The Strokes,Everything at once
Meet a Bear,0.521,0.685,4,-5.029,1,0.0267,0.182,2.72e-05,0.119,0.529,138.234,194000,4,c50566d83fba17b20697039d5824db78,Britta Persson,Everything at once
Meeting People Sucks,0.242,0.733,11,-6.045,0,0.0705,0.00631,0.0221,0.284,0.352,193.915,146133,3,c50566d83fba17b20697039d5824db78,The Naked And Famous,Everything at once
Meg White,0.502,0.384,7,-9.656,1,0.0414,0.745,0.000632,0.167,0.257,124.496,252080,4,c50566d83fba17b20697039d5824db78,Ray LaMontagne,Everything at once
Megafauna,0.555,0.58,0,-7.675,1,0.0312,0.111,1.38e-05,0.0946,0.525,134.966,268693,4,c50566d83fba17b20697039d5824db78,Ra Ra Riot,Everything at once
Megalomania,0.189,0.304,4,-11.897,0,0.032,0.0326,0.824,0.315,0.0899,145.76,279907,4,c50566d83fba17b20697039d5824db78,Muse,Everything at once
Mellon Collie And The Infinite Sadness,0.274,0.0332,6,-22.448,1,0.0341,0.957,0.771,0.115,0.139,96.934,172920,5,c50566d83fba17b20697039d5824db78,The Smashing Pumpkins,Everything at once
Mellowship Slinky In B Major,0.652,0.809,6,-11.623,0,0.0762,0.00295,0.00928,0.352,0.773,91.919,239960,4,c50566d83fba17b20697039d5824db78,Red Hot Chili Peppers,Everything at once
Melody Calling,0.593,0.908,11,-8.304,0,0.0478,0.00108,0.376,0.369,0.855,145.981,178613,4,c50566d83fba17b20697039d5824db78,The Vaccines,Everything at once
Memory Serves,0.478,0.842,4,-5.447,0,0.0582,2.75e-05,0.254,0.315,0.481,136.1,301787,4,c50566d83fba17b20697039d5824db78,Interpol,Everything at once
Men bara om min älskade väntar,0.303,0.0625,2,-14.431,1,0.0342,0.859,8.75e-06,0.0807,0.314,73.74,252627,4,c50566d83fba17b20697039d5824db78,Thåström,Everything at once
Men's Needs,0.547,0.944,1,-2.264,0,0.0469,0.000102,9.95e-05,0.0665,0.835,122.005,195973,4,c50566d83fba17b20697039d5824db78,The Cribs,Everything at once
Mening,0.902,0.145,9,-9.662,0,0.0475,0.851,0.0473,0.0815,0.33,95.073,80040,4,c50566d83fba17b20697039d5824db78,Den svenska björnstammen,April 2014
Menswear,0.708,0.539,1,-10.281,1,0.0681,0.541,0.0179,0.0856,0.159,97.015,206738,4,c50566d83fba17b20697039d5824db78,The 1975,Everything at once
Mercedes Benz,0.704,0.106,0,-15.169,0,0.542,0.939,0.0,0.0674,0.521,86.763,107867,4,c50566d83fba17b20697039d5824db78,Janis Joplin,Everything at once
Mercy Me,0.481,0.886,9,-5.355,1,0.0513,0.0229,0.0,0.421,0.848,162.186,169573,4,c50566d83fba17b20697039d5824db78,Alkaline Trio,Everything at once
Metabolism,0.422,0.85,8,-5.134,0,0.0395,4.16e-05,0.00371,0.164,0.34,162.004,180680,3,c50566d83fba17b20697039d5824db78,The Strokes,Everything at once
Metal Zone,0.506,0.88,7,-5.005,0,0.0523,0.00256,0.266,0.191,0.283,132.162,144860,4,c50566d83fba17b20697039d5824db78,The Vines,Everything at once
Metroland,0.71,0.864,2,-7.261,1,0.0323,0.0193,0.486,0.07,0.676,124.02,452510,4,c50566d83fba17b20697039d5824db78,Orchestral Manoeuvres In The Dark,Everything at once
Mexican Dogs,0.287,0.776,0,-6.559,1,0.0493,0.00429,0.000147,0.1,0.34,185.664,216027,4,c50566d83fba17b20697039d5824db78,Cold War Kids,Everything at once
Michicant,0.235,0.161,8,-16.538,1,0.0316,0.927,0.204,0.104,0.0992,147.887,225733,3,c50566d83fba17b20697039d5824db78,Bon Iver,Everything at once
Michigan,0.539,0.241,10,-14.65,1,0.0349,0.882,0.00413,0.109,0.203,122.115,330773,4,c50566d83fba17b20697039d5824db78,The Milk Carton Kids,Everything at once
Mickey,0.595,0.928,4,-4.457,1,0.0503,0.0569,0.0,0.0336,0.982,149.975,252885,4,c50566d83fba17b20697039d5824db78,Toni Basil,April 2014
Micro Cuts,0.307,0.805,2,-6.41,0,0.0369,0.000214,0.758,0.0717,0.18,160.33,218640,4,c50566d83fba17b20697039d5824db78,Muse,Everything at once
Microwave Pizza,0.524,0.215,8,-15.516,1,0.0434,0.852,0.481,0.108,0.315,152.895,181387,4,c50566d83fba17b20697039d5824db78,Big Scary,Everything at once
Middle Of The Bed,0.704,0.459,11,-9.365,0,0.049,0.435,0.0591,0.0776,0.395,139.984,191560,4,c50566d83fba17b20697039d5824db78,Lucy Rose,Everything at once
Middle Of The Hill,0.765,0.483,7,-6.121,1,0.0422,0.845,0.0,0.109,0.83,146.101,147227,4,c50566d83fba17b20697039d5824db78,Josh Pyke,Everything at once
Midlife Crisis,0.588,0.962,11,-4.787,0,0.0444,0.000269,0.0093,0.327,0.771,107.995,242573,4,c50566d83fba17b20697039d5824db78,Disturbed,Everything at once
Midsommarkransen Baby,0.666,0.676,8,-7.636,0,0.278,0.264,0.0,0.103,0.709,98.06,215320,4,c50566d83fba17b20697039d5824db78,Jonathan Johansson,Everything at once
Might Be Stars,0.287,0.842,0,-6.58,1,0.0598,0.000204,0.000411,0.0505,0.467,167.516,199240,4,c50566d83fba17b20697039d5824db78,The Wannadies,Everything at once
Miko,0.475,0.916,6,-6.406,0,0.068,0.000814,0.897,0.124,0.619,155.007,182107,4,c50566d83fba17b20697039d5824db78,The Chain Gang Of 1974,Everything at once
Milk & Black Spiders,0.555,0.796,11,-6.928,0,0.0538,0.000567,0.759,0.111,0.495,124.944,317253,4,c50566d83fba17b20697039d5824db78,Foals,Everything at once
Milk & Sticks,0.342,0.868,0,-5.561,1,0.0549,0.000626,0.0762,0.117,0.196,110.956,282760,5,c50566d83fba17b20697039d5824db78,Boy & Bear,Everything at once
Milk Carton Kid,0.533,0.0966,2,-21.274,1,0.0344,0.895,0.0599,0.106,0.218,98.498,245120,3,c50566d83fba17b20697039d5824db78,The Milk Carton Kids,Everything at once
Milk It,0.468,0.524,1,-12.38,0,0.0474,0.00064,0.0221,0.131,0.537,136.293,234747,4,c50566d83fba17b20697039d5824db78,Nirvana,Everything at once
Milk Thistle,0.508,0.249,11,-12.817,1,0.0413,0.766,0.00165,0.302,0.299,85.175,321053,4,c50566d83fba17b20697039d5824db78,Conor Oberst,Everything at once
Milkshake,0.887,0.774,1,-6.108,1,0.0434,0.00933,0.0213,0.159,0.826,113.0,182813,4,c50566d83fba17b20697039d5824db78,Kelis,Everything at once
Million Dollar Bill,0.738,0.275,7,-11.486,1,0.0296,0.233,3.43e-05,0.0903,0.206,116.979,252947,4,c50566d83fba17b20697039d5824db78,Dawes,Everything at once
Million Young,0.583,0.752,2,-9.557,1,0.0525,0.0221,0.754,0.0769,0.688,131.051,207067,4,c50566d83fba17b20697039d5824db78,The American Analog Set,Everything at once
Min ljusaste röst,0.637,0.505,7,-10.083,1,0.0254,0.387,0.905,0.0967,0.362,90.017,248258,4,c50566d83fba17b20697039d5824db78,Jonathan Johansson,Everything at once
Mind Your Manners (feat. Icona Pop) [Clean Version],0.696,0.853,2,-4.122,1,0.237,0.00399,0.0,0.0843,0.685,92.976,196653,4,c50566d83fba17b20697039d5824db78,Chiddy Bang,Everything at once
Mine Is Yours,0.576,0.694,11,-8.735,1,0.0353,0.154,0.0003,0.0903,0.194,93.386,256733,4,c50566d83fba17b20697039d5824db78,Cold War Kids,Everything at once
Minor Thing,0.426,0.949,6,-3.231,0,0.0631,0.01,0.00434,0.377,0.339,122.241,217200,4,c50566d83fba17b20697039d5824db78,Red Hot Chili Peppers,Everything at once
Mint Car,0.602,0.945,2,-3.293,1,0.0623,0.0663,0.0,0.386,0.761,143.844,209733,4,c50566d83fba17b20697039d5824db78,The Cure,Everything at once
Minusgrader rensar luften,0.46,0.958,1,-6.736,0,0.0597,0.00827,0.237,0.142,0.469,163.059,254453,4,c50566d83fba17b20697039d5824db78,Markus Krunegård,Everything at once
Miracle Mile,0.355,0.867,2,-3.144,1,0.0738,0.00664,0.554,0.323,0.295,142.849,180133,4,c50566d83fba17b20697039d5824db78,Cold War Kids,Everything at once
Misery Business,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520,4,c50566d83fba17b20697039d5824db78,Paramore,Everything at once
Miss Atomic Bomb,0.56,0.734,10,-7.094,1,0.0317,0.0273,2.12e-05,0.253,0.332,132.953,293507,4,c50566d83fba17b20697039d5824db78,The Killers,Everything at once
Miss California,0.529,0.902,7,-4.368,0,0.0388,0.000285,0.0,0.128,0.514,120.007,234040,4,c50566d83fba17b20697039d5824db78,Jack's Mannequin,Everything at once
Miss Jackson - feat. Lolo,0.642,0.873,2,-5.821,1,0.0551,0.00394,0.0,0.175,0.662,82.002,192053,4,c50566d83fba17b20697039d5824db78,Panic! At The Disco,Everything at once
Miss Murder,0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,206587,4,c50566d83fba17b20697039d5824db78,AFI,Everything at once
Miss World,0.331,0.722,7,-8.461,1,0.0408,0.00204,5.35e-05,0.256,0.349,125.575,180067,4,c50566d83fba17b20697039d5824db78,Hole,Everything at once
Missed the Boat,0.71,0.698,2,-5.797,1,0.0332,0.0697,0.0,0.478,0.852,104.007,264813,4,c50566d83fba17b20697039d5824db78,Modest Mouse,Everything at once
Missing,0.677,0.484,9,-10.506,0,0.0325,0.077,4.71e-05,0.134,0.696,123.534,247200,4,c50566d83fba17b20697039d5824db78,Everything But The Girl,Everything at once
Missing - Todd Terry Remix,0.723,0.721,9,-9.389,0,0.0301,0.0249,0.0108,0.0545,0.646,123.488,236293,4,c50566d83fba17b20697039d5824db78,Everything But The Girl,Everything at once
Missing Pieces,0.454,0.708,0,-10.298,1,0.0838,0.19,0.00433,0.141,0.275,154.548,206080,4,c50566d83fba17b20697039d5824db78,Jack White,Everything at once
Mississippi Isabel,0.64,0.771,2,-4.567,1,0.0273,0.064,0.0,0.362,0.931,109.988,183493,4,c50566d83fba17b20697039d5824db78,King Charles,Everything at once
Mistaken For Strangers,0.539,0.925,5,-5.303,1,0.0313,0.0532,0.87,0.298,0.751,133.008,210960,4,c50566d83fba17b20697039d5824db78,The National,Everything at once
Mister Cool,0.747,0.877,7,-3.14,1,0.0744,0.0481,0.0,0.126,0.749,126.505,187320,4,c50566d83fba17b20697039d5824db78,Snook,Annat
Mistress,0.517,0.685,11,-7.08,0,0.0281,0.0563,0.0154,0.198,0.123,129.992,211537,4,c50566d83fba17b20697039d5824db78,Young Ejecta,Everything at once
Mitt Hjärta Blöder,0.595,0.699,3,-5.827,1,0.0315,0.358,0.016,0.194,0.392,106.938,201360,4,c50566d83fba17b20697039d5824db78,Veronica Maggio,Everything at once
Mix Tape,0.578,0.812,0,-5.616,1,0.0276,0.117,0.0414,0.245,0.657,163.934,213800,4,c50566d83fba17b20697039d5824db78,Big Scary,Everything at once
Mmm Mmm Mmm Mmm,0.58,0.575,3,-7.72,1,0.0231,0.25,1.83e-05,0.0813,0.37,92.934,235173,4,c50566d83fba17b20697039d5824db78,Crash Test Dummies,Everything at once
Mockingbird,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,4,c50566d83fba17b20697039d5824db78,Eminem,Everything at once
Mockingbirds,0.322,0.676,9,-6.922,1,0.0337,0.348,0.135,0.0858,0.752,203.376,150320,4,c50566d83fba17b20697039d5824db78,Mark Lanegan,Everything at once
"New York, I Love You But You're Bringing Me Down",0.39,0.37,7,-8.288,0,0.0457,0.474,0.00013,0.115,0.0909,176.526,335480,3,c50566d83fba17b20697039d5824db78,LCD Soundsystem,Everything at once
Nice Day for an Earthquake,0.411,0.255,3,-16.179,1,0.0351,0.0587,0.875,0.1,0.291,121.492,338987,4,c50566d83fba17b20697039d5824db78,Jakob,Everything at once
One More Of Me,0.307,0.117,11,-16.119,0,0.0386,0.695,0.003,0.117,0.135,92.218,246107,4,c50566d83fba17b20697039d5824db78,John Frusciante,Everything at once
Looking Glass,0.823,0.769,0,-6.266,0,0.0422,0.0444,0.000158,0.127,0.899,130.012,295387,4,c50566d83fba17b20697039d5824db78,Little Dragon,Everything at once
Model Home,0.536,0.833,11,-4.699,1,0.0345,0.00248,0.0138,0.227,0.861,84.023,217500,4,c50566d83fba17b20697039d5824db78,Brad Sucks,April 2014
Modern Drift,0.544,0.614,0,-11.329,1,0.0342,0.437,0.84,0.121,0.306,99.999,293760,4,c50566d83fba17b20697039d5824db78,Efterklang,Everything at once
Modern Girl,0.539,0.652,11,-5.08,1,0.0289,0.327,0.129,0.104,0.196,130.851,181453,4,c50566d83fba17b20697039d5824db78,Sleater-Kinney,Everything at once
Modern Guilt,0.733,0.498,10,-6.972,0,0.0319,0.0396,0.635,0.101,0.645,75.086,192467,4,c50566d83fba17b20697039d5824db78,Beck,Everything at once
Moderna män,0.599,0.772,0,-8.138,1,0.0281,0.0138,0.00436,0.0754,0.618,133.815,238373,4,c50566d83fba17b20697039d5824db78,Imperiet,Everything at once
Mojo Pin,0.298,0.416,7,-8.355,1,0.0346,0.0978,4.8e-06,0.0709,0.0495,141.742,342813,4,c50566d83fba17b20697039d5824db78,Jeff Buckley,Everything at once
Mollusk,0.4,0.519,2,-10.197,0,0.0284,0.597,0.138,0.0963,0.215,107.655,154093,4,c50566d83fba17b20697039d5824db78,Beachwood Sparks,Everything at once
Molly's Lips - Live in London,0.364,0.504,10,-10.266,0,0.0642,0.312,0.147,0.129,0.0865,145.141,134227,4,c50566d83fba17b20697039d5824db78,The Vaselines,Everything at once
Monday Morning,0.642,0.767,9,-8.648,1,0.0327,0.0439,0.00176,0.0874,0.662,113.3,258907,4,c50566d83fba17b20697039d5824db78,Death Cab for Cutie,Everything at once
"Monday, Monday - Single Version",0.488,0.464,1,-9.496,1,0.0284,0.742,0.0,0.57,0.709,109.853,208293,4,c50566d83fba17b20697039d5824db78,The Mamas & The Papas,Everything at once
Money For Nothing,0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,506400,4,c50566d83fba17b20697039d5824db78,Dire Straits,Everything at once
Money On My Mind,0.688,0.841,2,-5.217,1,0.179,0.204,0.000295,0.229,0.743,133.912,192670,4,c50566d83fba17b20697039d5824db78,Sam Smith,April 2014
Money Power Glory,0.349,0.525,8,-6.829,0,0.0451,0.583,0.0,0.35,0.288,136.762,270680,5,c50566d83fba17b20697039d5824db78,Lana Del Rey,Everything at once
Money Trees,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4,c50566d83fba17b20697039d5824db78,Kendrick Lamar,Everything at once
"Money, Money, Money",0.756,0.741,9,-6.426,0,0.0364,0.43,0.00113,0.0807,0.691,120.445,186787,4,c50566d83fba17b20697039d5824db78,ABBA,Everything at once
MoneyGrabber,0.696,0.886,9,-3.713,0,0.0291,0.0608,1.01e-06,0.585,0.801,112.52,189893,4,c50566d83fba17b20697039d5824db78,Fitz and The Tantrums,Everything at once
Monkey Wrench,0.401,0.953,4,-4.276,1,0.0752,1.83e-05,2.56e-05,0.149,0.555,174.217,231480,4,c50566d83fba17b20697039d5824db78,Foo Fighters,Everything at once
Monochromatic Memories,0.601,0.576,5,-9.0,1,0.0263,0.746,0.461,0.114,0.137,125.012,255067,4,c50566d83fba17b20697039d5824db78,Solander,April 2014
Monster,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,378893,5,07f0fc3be95dcd878966b1f9572ff670,The Automatic,Soirée
Monsterteorin,0.404,0.641,1,-6.337,0,0.0265,0.00848,0.00753,0.612,0.281,89.186,283213,4,c50566d83fba17b20697039d5824db78,Lars Winnerbäck,Everything at once
Montananas,0.385,0.797,0,-5.658,1,0.0307,0.049,3.24e-05,0.233,0.395,85.591,202987,4,c50566d83fba17b20697039d5824db78,Loosegoats,Everything at once
Monte Carlo,0.528,0.81,0,-4.957,1,0.0359,0.00144,0.00015,0.183,0.591,137.007,289040,4,c50566d83fba17b20697039d5824db78,U.S. Royalty,Everything at once
Montezuma,0.315,0.296,0,-9.899,1,0.0281,0.85,0.0118,0.101,0.0997,98.833,216605,4,c50566d83fba17b20697039d5824db78,Fleet Foxes,Everything at once
Monument,0.51,0.855,9,-6.858,0,0.0406,0.00604,0.125,0.706,0.644,93.038,286520,4,c50566d83fba17b20697039d5824db78,Röyksopp,Everything at once
"Moon River (From Breakfast at Tiffany's"")""",0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555,162893,3,c50566d83fba17b20697039d5824db78,Andy Williams,Everything at once
Moondance,0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,274040,4,c50566d83fba17b20697039d5824db78,Van Morrison,Everything at once
More Than A Miracle,0.746,0.851,0,-4.072,0,0.0463,0.00872,0.0,0.227,0.413,120.962,245701,4,c50566d83fba17b20697039d5824db78,MNEK,Annat
More Than This,0.498,0.715,0,-4.446,1,0.0315,0.0607,0.0,0.274,0.225,151.809,229107,4,c50566d83fba17b20697039d5824db78,One Direction,Everything at once
Morgonen efter,0.709,0.891,4,-4.056,1,0.0353,0.108,0.14,0.602,0.835,105.982,243000,4,c50566d83fba17b20697039d5824db78,Lilla Sällskapet,Everything at once
Morning Glory,0.334,0.986,2,-1.655,0,0.0932,0.00866,0.000354,0.466,0.136,137.031,303533,4,c50566d83fba17b20697039d5824db78,Oasis,Everything at once
Morning from 'Peer Gynt',0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,153267,4,c50566d83fba17b20697039d5824db78,Edvard Grieg,Everything at once
Mother Protect,0.718,0.775,1,-8.63,0,0.0635,0.0026,0.534,0.0767,0.195,107.95,305377,4,c50566d83fba17b20697039d5824db78,Niki & The Dove,Everything at once
Mother Tongue,0.595,0.833,0,-4.902,1,0.0339,0.000211,0.615,0.151,0.549,124.966,203987,4,c50566d83fba17b20697039d5824db78,White Lies,Everything at once
Mother We Just Can't Get Enough,0.636,0.93,9,-5.618,1,0.0449,0.47,0.00012,0.203,0.795,106.212,346067,4,c50566d83fba17b20697039d5824db78,New Radicals,Everything at once
Motorcycle Emptiness,0.522,0.801,4,-3.641,1,0.0301,8.2e-06,0.0685,0.174,0.197,112.445,305707,4,c50566d83fba17b20697039d5824db78,Manic Street Preachers,Everything at once
Mountain Song,0.324,0.931,9,-6.803,1,0.0837,0.0155,0.0252,0.277,0.313,82.748,242720,4,c50566d83fba17b20697039d5824db78,Jane's Addiction,Everything at once
Mountain Sound,0.379,0.879,1,-4.336,0,0.0362,0.0421,0.00449,0.146,0.37,102.021,211453,4,c50566d83fba17b20697039d5824db78,Of Monsters and Men,Everything at once
